ID,file_name,location,sensor_color
1,SalonDijonPeinture_20220829231748.xls,salon_thermostat,yellow
2,SalonVagueChaleur_20220815165409.xls,salon_thermostat,yellow
3,Salon_20220804092851.xls,salon_thermostat,yellow
4,Salon_20220918133955.xls,salon_thermostat,yellow
5,Salon_20221009102022.xls,salon_thermostat,yellow
6,Salon_20221023082833.xls,salon_thermostat,yellow
7,Salon_20221115205438.xls,salon_thermostat,yellow
8,Salon_20221118222731.xls,salon_thermostat,yellow
9,Thermostat_20220206101342.xls,salon_thermostat,yellow
10,salon_20221105153904.xls,salon_thermostat,yellow
11,EFE206106099_20221202173736.xls,salon_thermostat,yellow
12,EFE227102152_20221202174206.xls,chambre_chevet_lucienne_haut,green
13,EFE228102339_20221202174706.xls,chambre_bibliotheque,blue
14,EFE227102191_20221202174957.xls,salon_tiroirs_lucienne,red
